date	surface	phase	start	end	status	commit	notes
2026-05-04	ORCH	T01-T03 scaffold+0G+demo	18:08	18:50	PASS	93f1861	PR-0 76 LOC; ZeroGClient; INFTMinter; demo script; README; FEEDBACK.md
2026-05-04	LANE-A	T06-T10 mint-helper	20:05	18:44	PASS	ba89b14	41→54 tests; FAssets+FDC+FTSO; ENS keccak fix; AXL node 1 publisher
2026-05-04	LANE-B	T11-T15 yield-router	19:45	18:39	PASS	fd69cbe	67 tests; DeFi venues; UniswapClient; rebalance policy; AXL node 2
2026-05-04	ORCH	T04 merge+gate+PRA	21:00	21:15	SHIPS	55415c1	151/151 tests; ruff clean; PRA 7/7=100%; 12 phase-boundary commits
2026-05-05	LANE-B	T05-T06 submission+feedback	15:51	15:53	PASS	95d896b	SUBMISSION one-pager; FEEDBACK 0G APAC + Why 0G; ruff clean; pushed
2026-05-05	ORCH	T01-T02 0G storage mainnet fix	15:48	15:58	PASS	21f521e	Pinned mainnet Flow contract; .env.example mainnet defaults; ZERO_G_STORAGE_STATUS.md documents insufficient-funded-wallet blocker; 155 tests; ruff clean; judge_demo no-crash; push blocked DNS github.com; isolation: worktree
2026-05-05	ORCH	XRPFi sponsor gates	16:17	16:37	PASS	4fdd811	ENS registration script committed but live tx deferred: Sepolia wallet 0 ETH; Lane A AXL receipt merged from 0c8c6a4; Lane B Uniswap API fallback committed 7bb5fc1; 157 tests; ruff clean; judge_demo step 7 labeled fixture and step 8 prints receipt; isolation: shared-checkout
2026-05-05	ORCH	T01-T02 CI+README	16:35	16:49	PASS	679c45f	CI workflow added; README badges and 3-command quickstart; docs/screenshots placeholder; 157 tests; ruff clean; push blocked DNS github.com
2026-05-05	LANE-A	T03-T04 web UI polish	16:53	17:00	PASS	b758f15	Dark UI; /prices endpoint with stale cache fallback; live ticker; agent flow; decision cards; server bind blocked by sandbox; direct /prices payload OK; 157 tests; ruff clean
2026-05-05	LANE-B	T05-T06 submission prep	16:53	17:00	PASS	b758f15	3-minute demo script; X post draft under 280 chars; judge handout; checklist updated to 157 tests; doc checks clean
2026-05-05	LANE-A	T03-T04 session history ledger	19:11	19:17	PASS	5b2da94	Session ledger persists judge runs to ~/.xrpfi/sessions.json; GET /sessions; Past Runs UI; 160 tests; ruff clean; integrated shared checkout
2026-05-05	LANE-B	T05-T06 docker makefile	19:11	19:18	PASS	5b2da94	docker-compose.yml; Makefile targets; README Docker section; env audit; YAML valid; Makefile syntax OK; integrated shared checkout
2026-05-05	ORCH	T01-T02 SSE stream ledger	19:09	19:18	PASS	5b2da94	SSE /stream; async /api/run; /status compatibility; 10 live UI steps; judge_demo step_callback; SSE smoke PASS; 160 tests; ruff clean
2026-05-06	ORCH	T01-T03 iNFT gallery cleanup	00:44	00:56	PASS	d5ce0cf	Session started_at/finished_at; /gallery endpoint; iNFT gallery cards with duration/storage proof; 163 tests; ruff clean; mypy src strict clean; server bind blocked by sandbox
2026-05-06	LANE-A	T03-T04 iNFT gallery frontend	00:55	00:58	PASS	d5ce0cf	Past Runs replaced with iNFT Session Gallery; /gallery fetch, refresh, retry, empty state, proof cards; 163 tests; ruff clean; scope note: shared-checkout commit included ORCH files
2026-05-06	LANE-B	T05-T07 post-funding workflow	00:50	00:56	PASS	9c6e081	check_0g_balance.py; update_deployment.py; Makefile verify-funding/update-deployment; 163 tests; ruff clean; dry-run pass; balance check ran underfunded
2026-05-06	ORCH	Lane-B corrective hardening	01:00	01:08	PASS	11e0d31	Added required --inft-tx alias; update_deployment dry-run patches DEPLOYMENT_ADDRESSES.md and docs/JUDGES_CHECKLIST.md; balance checker threshold/output aligned; 163 tests; ruff clean; mypy src clean
